Paper,ResearchersIDs
Paper_1926_1,55429686600
Paper_1926_1,57197403605
Paper_1926_1,55480056700
Paper_1926_6,55429686600
Paper_1926_6,24770620200
Paper_1926_6,8225654900
Paper_1928_7,55429686600
Paper_1928_7,16663666900
Paper_1928_7,57197403605
Paper_1928_8,16065455500
Paper_1928_8,36763553200
Paper_1928_8,16065426400
Paper_1929_2,16050657300
Paper_1929_2,23075446000
Paper_1929_2,16051184000
Paper_1929_4,16653078100
Paper_1929_4,16648171900
Paper_1929_4,16648428300
Paper_1930_9,16050657300
Paper_1930_9,23076295300
Paper_1930_9,16051184000
Paper_1931_11,23075924400
Paper_1931_11,23077880200
Paper_1931_11,16051184000
Paper_1931_12,23075924400
Paper_1931_12,23076864500
Paper_1931_12,16051184000
Paper_1931_15,16065455500
Paper_1931_15,16065310600
Paper_1931_15,16065951800
Paper_1931_4,55429686600
Paper_1931_4,16650850000
Paper_1931_4,16651007700
Paper_1934_1,23076456600
Paper_1934_1,23078799800
Paper_1934_1,57208848277
Paper_1934_10,23077226800
Paper_1934_10,23078294800
Paper_1934_10,57208848277
Paper_1934_11,55429686600
Paper_1934_11,16651007700
Paper_1934_11,16650656700
Paper_1934_2,23076864500
Paper_1934_2,16051184000
Paper_1934_2,23078903100
Paper_1934_5,26631305900
Paper_1934_5,23002045700
Paper_1934_5,36110655100
Paper_1934_8,23077226800
Paper_1934_8,23078294800
Paper_1934_8,57208848277
Paper_1935_1,26631305900
Paper_1935_1,26630872400
Paper_1935_1,35935556900
Paper_1935_10,16051111300
Paper_1935_10,16663666900
Paper_1935_10,57190915820
Paper_1935_12,16051184000
Paper_1935_12,23078670000
Paper_1935_12,23079034500
Paper_1935_13,36810517400
Paper_1935_13,23077880200
Paper_1935_13,16051184000
Paper_1935_14,16065455500
Paper_1935_14,16065525800
Paper_1935_14,23076742900
Paper_1935_2,23075653800
Paper_1935_2,23077226800
Paper_1935_2,57208848277
Paper_1935_3,23077226800
Paper_1935_3,23078294800
Paper_1935_3,57208848277
Paper_1935_5,26630872400
Paper_1935_5,26631305900
Paper_1935_5,24770486500
Paper_1936_20,55429686600
Paper_1936_20,16055388600
Paper_1936_20,16666493200
Paper_1936_21,55429686600
Paper_1936_21,16651007700
Paper_1936_21,16650850000
Paper_1936_22,26630655200
Paper_1936_22,26631251100
Paper_1936_22,57208848279
Paper_1937_17,55429686600
Paper_1937_17,16667376700
Paper_1937_17,16663282100
Paper_1937_18,23077880200
Paper_1937_18,16051184000
Paper_1937_18,23079035200
Paper_1937_2,55429686600
Paper_1937_2,16651051300
Paper_1937_2,16650656700
Paper_1937_20,26630655200
Paper_1937_20,57190626472
Paper_1937_20,57208848278
Paper_1937_3,55429686600
Paper_1937_3,16055388600
Paper_1937_3,16665182600
Paper_1939_1,55429686600
Paper_1939_1,16055388600
Paper_1939_1,35954149900
Paper_1939_11,55429686600
Paper_1939_11,16055388600
Paper_1939_11,35934681400
Paper_1939_16,55429686600
Paper_1939_16,16651007700
Paper_1939_16,35934892800
Paper_1939_3,55429686600
Paper_1939_3,55397299400
Paper_1939_3,35954480900
Paper_1939_5,55429686600
Paper_1939_5,16055388600
Paper_1939_5,35954369600
Paper_1942_3,35934448700
Paper_1942_3,23064782300
Paper_1942_3,35934092500
Paper_1947_10,57091912500
Paper_1947_10,35935612000
Paper_1947_10,35934898800
Paper_1947_16,57091912500
Paper_1947_16,35935612000
Paper_1947_16,35934898800
Paper_1947_17,6507260435
Paper_1947_17,35933858000
Paper_1947_17,26630472400
Paper_1951_10,7202020383
Paper_1951_10,57122929100
Paper_1951_10,56713945900
Paper_1951_7,57190717074
Paper_1951_7,16060498200
Paper_1951_7,57190915460
Paper_1954_5,22987650400
Paper_1954_5,23056404600
Paper_1954_5,23057950700
Paper_1955_1,22987650400
Paper_1955_1,35915446900
Paper_1955_1,23057192800
Paper_1955_29,56713700800
Paper_1955_29,56713676500
Paper_1955_29,56713522600
Paper_1956_1,22987650400
Paper_1956_1,22989167500
Paper_1956_1,22989954500
Paper_1956_3,22987650400
Paper_1956_3,22989167500
Paper_1956_3,22989954500
Paper_1956_4,16545157400
Paper_1956_4,16056349700
Paper_1956_4,16546220400
Paper_1957_18,56713945900
Paper_1957_18,56713718800
Paper_1957_18,56713587600
Paper_1957_19,56713697600
Paper_1957_19,56713707000
Paper_1957_19,56713709300
Paper_1957_4,22987650400
Paper_1957_4,22989167500
Paper_1957_4,23059204000
Paper_1958_3,22990368900
Paper_1958_3,22988584400
Paper_1958_3,6603327887
Paper_1959_21,16509188600
Paper_1959_21,57192769213
Paper_1959_21,57192780605
Paper_1959_7,57190237113
Paper_1959_7,57190242759
Paper_1959_7,57190470001
Paper_1960_11,16546025200
Paper_1960_11,56713571500
Paper_1960_11,56713629500
Paper_1960_17,56713945900
Paper_1960_17,57122636500
Paper_1960_17,57122963200
Paper_1960_18,57190709080
Paper_1960_18,7202986724
Paper_1960_18,16521692900
Paper_1960_22,56713925800
Paper_1960_22,56713596000
Paper_1960_22,56713945900
Paper_1960_25,36510017700
Paper_1960_25,6603988414
Paper_1960_25,57202625917
Paper_1961_12,57202248425
Paper_1961_12,16673865300
Paper_1961_12,55435594000
Paper_1962_38,57198051719
Paper_1962_38,23077853500
Paper_1962_38,24744141600
Paper_1962_40,35348051900
Paper_1962_40,36937174600
Paper_1962_40,16532006700
Paper_1962_44,7101849511
Paper_1962_44,23062874500
Paper_1962_44,24608512300
Paper_1963_12,7003915095
Paper_1963_12,24592668600
Paper_1963_12,24593176100
Paper_1963_2,36909244500
Paper_1963_2,35361329500
Paper_1963_2,7401993365
Paper_1963_3,57197400091
Paper_1963_3,6603086575
Paper_1963_3,55468841500
Paper_1963_4,7101849511
Paper_1963_4,36812188800
Paper_1963_4,23062874500
Paper_1963_40,24593423600
Paper_1963_40,24592697100
Paper_1963_40,55262736100
Paper_1963_43,24593423600
Paper_1963_43,56132157000
Paper_1963_43,35568811700
Paper_1963_49,16062413300
Paper_1963_49,7101647523
Paper_1963_49,16056879600
Paper_1963_50,56731391400
Paper_1963_50,7005242658
Paper_1963_50,56700554000
Paper_1964_1,22987650400
Paper_1964_1,23063491700
Paper_1964_1,7006463012
Paper_1964_13,7101849511
Paper_1964_13,16049067900
Paper_1964_13,16061763700
Paper_1964_18,56244604200
Paper_1964_18,6603745884
Paper_1964_18,24539589800
Paper_1964_21,55591637900
Paper_1964_21,55591873500
Paper_1964_21,55591855100
Paper_1964_30,7101849511
Paper_1964_30,16049067900
Paper_1964_30,7102299911
Paper_1964_34,57189185244
Paper_1964_34,6507821106
Paper_1964_34,6601974584
Paper_1964_37,7004597711
Paper_1964_37,16036181800
Paper_1964_37,55775599700
Paper_1964_4,55254319000
Paper_1964_4,23064541600
Paper_1964_4,56132291300
Paper_1965_10,55419910800
Paper_1965_10,23000633400
