Authors,Author(s)ID,Title,Year,Sourcetitle,Volume,Issue,Art.No.,Pagestart,Pageend,Pagecount,Citedby,DOI,Link,DocumentType,PublicationStage,AccessType,Source,EID
"Battersby, J.",57189430325,The recent epidemic of typhoid fever in south africa,1901,British Medical Journal,1,2111,,1521,,,,10.1136/bmj.1.2111.1521-a,https://www.scopus.com/inward/record.url?eid=2-s2.0-84970814279&partnerID=40&md5=8d53a4db0dd56b65bca00b81ac2c15e7,Letter,Final,,Scopus,2-s2.0-84970814279
"Thomson, F.",57189118610,“Oral sepsis” in scarlet fever,1906,British Medical Journal,1,2357,,534,535,,,10.1136/bmj.1.2357.534-a,https://www.scopus.com/inward/record.url?eid=2-s2.0-84965219744&partnerID=40&md5=72d2f87d3df7f3a4c7fc939c0c930fef,Letter,Final,,Scopus,2-s2.0-84965219744
"Brid, W.D.",57067161300,A Company of Russian Machine Guns at the Battle of Liao-Yang,1906,Royal United Services Institution. Journal,50,346,,1498,1503,,,10.1080/03071840609431330,https://www.scopus.com/inward/record.url?eid=2-s2.0-84954899083&partnerID=40&md5=9e06a3cb3ba7b1eca7f64045d568ce09,Article,Final,,Scopus,2-s2.0-84954899083
"Jones, B.M.",23076847500,CLXIX. - The spontaneous crystallisation of solutions of some alkali nitrates,1908,"Journal of the Chemical Society, Transactions",93,,,1739,1747,,2,10.1039/CT9089301739,https://www.scopus.com/inward/record.url?eid=2-s2.0-37049152660&partnerID=40&md5=03cb29481848e72957e9f0c97ad83eaf,Review,Final,,Scopus,2-s2.0-37049152660
"Hemmy, A.S.",36964532600,The earth and comets' tails [5],1910,Nature,83,2120,,459,,,,,https://www.scopus.com/inward/record.url?eid=2-s2.0-51149133856&partnerID=40&md5=bd346b8ffdae2a89acf63914db0f6873,Letter,Final,,Scopus,2-s2.0-51149133856
"McCarrison, R.",23077533900,Further experimental researches on the etiology of endemic goitre,1911,Annals of Tropical Medicine and Parasitology,5,1,,1,14,,,10.1080/00034983.1911.11686338,https://www.scopus.com/inward/record.url?eid=2-s2.0-84975010534&partnerID=40&md5=9c5bd5655cff59e1f2877e534463b563,Article,Final,,Scopus,2-s2.0-84975010534
"Harris, G.C.",57066128000,Spun silk sewing thread counts,1911,Journal of the Textile Institute Proceedings and Abstracts,2,2,,160,,,,10.1080/00405001108631719,https://www.scopus.com/inward/record.url?eid=2-s2.0-84954867566&partnerID=40&md5=285f2a61db369398951e8ab761b8ed27,Article,Final,,Scopus,2-s2.0-84954867566
"Bomford, T.",56907822900,THE RIGHT ANGLE OF APPROACH,1911,The Muslim World,1,3,,283,288,,,10.1111/j.1478-1913.1911.tb00034.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84944486888&partnerID=40&md5=51747f2cac1172280331739c0fcd0db2,Article,Final,,Scopus,2-s2.0-84944486888
"Weitbrecht, H.U.",56907875600,THE LUCKNOW CONFERENCE,1911,The Muslim World,1,2,,164,175,,1,10.1111/j.1478-1913.1911.tb00018.x,https://www.scopus.com/inward/record.url?eid=2-s2.0-84937435498&partnerID=40&md5=a6718a95b32f9085115efbe95743b8c7,Article,Final,,Scopus,2-s2.0-84937435498
"Adie, H.A.",24752677900,Note on the sex of mosquito larvae,1912,Annals of Tropical Medicine and Parasitology,6,4,,463,466,,,10.1080/00034983.1912.11687086,https://www.scopus.com/inward/record.url?eid=2-s2.0-84974990645&partnerID=40&md5=54bc06309f6e7291b0ad59d314a1b425,Article,Final,,Scopus,2-s2.0-84974990645
