Date,Time,GCell Group,Integrity,_CallSetup TCH GOS(%)_N,_CallSetup TCH GOS(%)_D,_cssr_Call Setup Indications (Circuit Service)_N_1,_Cssr_Channel Requests (Circuit Service)_D_1,_CSSR_Call Drops on SDCCH_N_2,_CSSR_Successful SDCCH Seizures_D_2,_CSSR_Successful TCH Seizures (Traffic Channel)_N_3,_CSSR_TCH Seizure Requests (Traffic Channel)_D_3,_DCR_N,_DCR_D,_GOS-SDCCH(%)_N,_GOS-SDCCH(%)_D,_HSR%_N,_HSR%_D,_Mobility TCH GOS(%)_N,_Mobility TCH GOS(%)_D,_MTBD (Mean Time between Drop)_N,_MTBD (Mean Time between Drop)_D,_RxQual Index DL_1,_RxQual Index DL_2,_RxQual Index UL_1,_RxQual Index UL_2,GlobelTraffic,CSSR_Non Blocking_1_N,CSSR_Non Blocking_2_N,CSSR_Non Blocking_1_D,CSSR_Non Blocking_2_D
7/10/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,255,99298,195203,196933,592,293194,97864,99298,852,156303,7,298990,116504,118284,1049,59680,3023.5389,852,18404382,18829800,18611648,18829801,3023.5389,592,1771,298984,293204
7/11/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,489,99953,193021,195763,1554,316830,97926,99953,1199,155243,220,327340,114079,116289,1772,59361,2985.6597,1199,18037146,18509579,18283396,18509585,2985.6597,1554,3092,326653,316835
7/12/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,232,99062,188488,190332,648,288117,97600,99062,921,154678,3,293757,113656,115591,1310,58649,3106.2472,921,18979149,19422921,19202571,19422924,3106.2472,648,1878,293754,288131
7/13/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,424,101321,195031,197492,1340,317199,99502,101321,1119,157929,28,327296,116258,118584,1426,60100,3041.9306,1119,18376219,18892947,18666813,18892959,3041.9306,1340,2735,327258,317222
7/14/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,284,98276,191458,194025,955,305211,96895,98276,963,155455,5,315009,116670,118715,782,59761,3017.6305,963,18293362,18774170,18564940,18774176,3017.6305,955,2052,314316,305234
7/15/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,431,99674,192310,194545,1218,309285,97791,99674,1546,156925,186,317504,117793,120171,1978,61634,3109.35,1546,18931915,19439153,19217560,19439158,3109.35,1218,2670,317277,309293
7/16/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,1950,100967,200517,202747,656,296275,97710,100967,991,155048,186,302799,114486,116347,1375,58994,3166.6486,991,19354560,19863176,19605574,19863181,3166.6486,656,1963,302613,296290
7/17/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,308,99051,196654,199051,1043,305792,97220,99051,1035,155493,6,313756,115819,118312,1504,60053,3064.35,1035,18606195,19126871,18897376,19126878,3064.35,1043,2566,313750,305813
7/18/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,336,91421,184523,188492,3291,347813,89503,91421,1357,139430,55,364963,98673,101850,1197,51563,2848.3794,1357,17165951,17792133,17567312,17792137,2848.3794,3291,4873,364907,347829
7/19/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,435,95802,195563,197467,719,297653,94204,95802,1227,147796,1863,305933,107218,108866,1429,55268,2966.0542,1227,18137528,18604458,18370498,18604462,2966.0542,719,1882,304062,297662
7/20/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,397,102027,195316,197961,1184,310637,100124,102027,1158,157083,2,319820,113248,115791,1797,59060,3062.3389,1158,18500486,19052933,18816061,19052936,3062.3389,1184,2690,319818,310652
7/21/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,415,102371,196929,199545,1262,318933,100461,102371,1072,155271,13,328588,109050,111466,1605,56732,3071.8431,1072,18574172,19113443,18887855,19113451,3071.8431,1262,2757,328564,318949
7/22/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,777,102898,198696,201025,1089,309817,100763,102898,1050,157786,1,317616,113576,115759,1789,59119,3051.7458,1050,18519938,19022501,18791112,19022500,3051.7458,1089,2447,317614,309824
7/23/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,894,99036,192583,194942,1134,307621,96807,99036,1065,152835,0,316074,111686,113618,1847,58108,3114.8566,1065,19039530,19604894,19371330,19604895,3114.8566,1134,2469,316073,307644
7/24/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,214,98797,187262,189669,1267,310833,97431,98797,977,153199,72,320236,111028,113150,1249,57280,3042.7653,977,18575029,19087578,18868121,19087580,3042.7653,1267,2419,320171,310859
7/25/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,1030,101816,211143,213789,477,302370,99243,101816,1175,153232,548,308910,107831,109345,1335,55549,3039.9292,1175,18525454,19019404,18764883,19019403,3039.9292,477,2020,308275,302382
7/26/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,252,95129,194939,197305,1141,307441,93539,95129,1120,146366,4,315502,105210,107163,1405,54478,3077.7389,1120,18831494,19370711,19132359,19370715,3077.7389,1141,2479,315494,307455
7/27/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,1033,95442,186121,188105,586,282155,93185,95442,1018,146026,115,288200,105404,107298,1628,54760,3084.1223,1018,18981618,19463994,19238303,19463997,3084.1223,586,1810,288085,282168
7/28/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,585,98677,193258,195141,512,288045,96841,98677,1105,151093,18,293677,108325,110051,1425,55944,3106.8661,1105,19081394,19554076,19327919,19554082,3106.8661,512,1763,293659,288054
7/29/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,530,99534,197903,200214,751,305686,97744,99534,1366,151054,43,312931,106408,108369,1436,55189,2950.4255,1366,17891060,18364459,18151027,18364471,2950.4255,751,2011,312893,305708
7/30/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,366,102895,196524,199539,1378,316821,100948,102895,1232,157415,4,327246,112416,114757,1405,58171,3060.8083,1232,18447712,19007085,18776174,19007086,3060.8083,1378,2959,327242,316840
7/31/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,363,101497,204673,207720,1762,335263,99614,101497,1315,156510,22,346658,112908,115684,1730,58976,3177.6722,1315,19197570,19834246,19579959,19834252,3177.6722,1762,3282,346640,335291
8/1/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,565,91082,197017,198724,488,281631,89251,91082,1039,141892,0,286337,105321,106987,2727,55619,3246.6777,1039,20379800,20894312,20649950,20894320,3246.6777,488,1754,286337,281640
8/2/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,443,100596,200632,202720,680,297272,98757,100596,1144,154619,0,303287,111458,113229,2309,58413,3258.25,1144,20081508,20629413,20387328,20629417,3258.25,680,2076,303288,297287
8/3/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,745,101873,205253,207698,1018,316203,99506,101873,1264,154796,15,323825,110095,112535,1662,57391,3234.3369,1264,19785923,20360848,20109185,20360856,3234.3369,1018,2640,323810,316222
8/4/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,463,104986,199931,202580,1253,319120,102884,104986,1180,159283,3,328074,112332,114655,2005,58734,3223.7984,1180,19552063,20151289,19899081,20151293,3223.7984,1253,2892,328072,319139
8/5/2019,20:00,DG_KHAN_CLUSTER_02_Rural,100%,591,99676,198410,200951,1203,315250,97586,99676,1178,154958,14,323581,113998,116650,2279,60053,3238.2903,1178,19844120,20442221,20189431,20442231,3238.2903,1203,2702,323567,315268
